,Florida Player 1,Florida Player 2,Florida Player 3,Florida Player 4,Florida Player 5,Opponent Player 1,Opponent Player 2,Opponent Player 3,Opponent Player 4,Opponent Player 5,Start Time,Finish Time,Florida Bigs,Opponent Bigs,Florida Starting Score,Florida Ending Score,Opponent Starting Score,Opponent Ending Score,Florida 2PFGM,Florida 2PFGA,Florida PFGM,Florida PFGA,Florida 3PFGM,Florida 3PFGA,Florida FTM,Florida FTA,Florida TO,Florida ORB,Florida DRB,Florida PF,Florida BLK,Opponent 2PFGM,Opponent 2PFGA,Opponent PFGM,Opponent PFGA,Opponent 3PFGM,Opponent 3PFGA,Opponent FTM,Opponent FTA,Opponent TO,Opponent ORB,Opponent DRB,Opponent PF,Opponent BLK
0,Kevarrius Hayes,KeVaughn Allen,Chris Chiozza,Jalen Hudson,Egor Koulechev,Jalin Hart,Simi Socks,Keaton Hervey,Charles Brown III,Shawn Johnson,1200,1001,0,0,0,2,0,2,1,3,0,0,0,2,0,0,1,1,3,0,0,1,2,0,0,0,2,0,0,1,0,3,0,0
1,Kevarrius Hayes,Keith Stone,KeVaughn Allen,Chris Chiozza,Jalen Hudson,Jalin Hart,Simi Socks,Keaton Hervey,Charles Brown III,Shawn Johnson,1001,1001,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Kevarrius Hayes,Keith Stone,KeVaughn Allen,Chris Chiozza,Jalen Hudson,Jalin Hart,Konstantin Kulikov,Keaton Hervey,Charles Brown III,Shawn Johnson,1001,924,1,1,2,4,2,2,1,1,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,2,0,0
3,Kevarrius Hayes,Keith Stone,KeVaughn Allen,Chris Chiozza,Jalen Hudson,Jalin Hart,Simi Socks,Konstantin Kulikov,Keaton Hervey,Shawn Johnson,924,921,1,1,4,4,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4,Gorjok Gak,Keith Stone,KeVaughn Allen,Chris Chiozza,Jalen Hudson,Jalin Hart,Simi Socks,Konstantin Kulikov,Keaton Hervey,Shawn Johnson,921,874,1,1,4,7,4,8,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0
5,Gorjok Gak,Keith Stone,KeVaughn Allen,Chris Chiozza,Jalen Hudson,Jalin Hart,Simi Socks,Keaton Hervey,Shawn Johnson,Christian Peevy,874,874,1,0,7,7,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Gorjok Gak,Keith Stone,KeVaughn Allen,Mike Okauru,Jalen Hudson,Jalin Hart,Simi Socks,Keaton Hervey,Shawn Johnson,Christian Peevy,874,807,1,0,7,10,8,8,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
7,Gorjok Gak,Keith Stone,KeVaughn Allen,Mike Okauru,Jalen Hudson,Simi Socks,Keaton Hervey,Cody Graham,Shawn Johnson,Christian Peevy,807,685,1,0,10,18,8,14,1,1,0,0,2,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0
8,Kevarrius Hayes,Keith Stone,Mike Okauru,Jalen Hudson,Deaundrae Ballard,Simi Socks,Keaton Hervey,Cody Graham,Shawn Johnson,Christian Peevy,685,685,1,0,18,18,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Kevarrius Hayes,Keith Stone,Mike Okauru,Jalen Hudson,Deaundrae Ballard,Jalin Hart,Simi Socks,Sam Burmeister,Shawn Johnson,Christian Peevy,685,675,1,0,18,18,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Kevarrius Hayes,Keith Stone,Mike Okauru,Jalen Hudson,Deaundrae Ballard,Jalin Hart,Simi Socks,Sam Burmeister,Charles Brown III,Shawn Johnson,675,551,1,0,18,20,14,16,1,3,0,0,0,2,0,1,0,2,2,0,0,1,3,0,0,0,0,0,0,0,0,3,2,0
11,Kevarrius Hayes,Keith Stone,Mike Okauru,Jalen Hudson,Deaundrae Ballard,Jalin Hart,Konstantin Kulikov,Sam Burmeister,Charles Brown III,Shawn Johnson,551,551,1,1,20,20,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Gorjok Gak,Keith Stone,KeVaughn Allen,Chris Chiozza,Deaundrae Ballard,Jalin Hart,Konstantin Kulikov,Sam Burmeister,Charles Brown III,Shawn Johnson,551,448,1,1,20,23,16,19,0,3,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,2,1,0
13,Gorjok Gak,Keith Stone,KeVaughn Allen,Chris Chiozza,Deaundrae Ballard,Augustine Ene,Konstantin Kulikov,Simi Socks,Sam Burmeister,Cody Graham,448,448,1,1,23,23,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Kevarrius Hayes,KeVaughn Allen,Chris Chiozza,Egor Koulechov,Deaundrae Ballard,Augustine Ene,Konstantin Kulikov,Simi Socks,Sam Burmeister,Cody Graham,448,350,1,1,23,25,19,21,0,1,0,1,0,2,2,2,0,1,2,0,0,1,3,0,0,0,0,0,0,0,0,3,0,1
15,Kevarrius Hayes,KeVaughn Allen,Chris Chiozza,Jalen Hudson,Egor Koulechov,Augustine Ene,Konstantin Kulikov,Simi Socks,Sam Burmeister,Cody Graham,350,337,1,1,25,26,21,21,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
16,Kevarrius Hayes,KeVaughn Allen,Chris Chiozza,Jalen Hudson,Egor Koulechov,Simi Socks,Konstantin Kulikov,Keaton Hervey,Augustine Ene,Cody Graham,337,316,1,1,26,28,21,21,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
17,Kevarrius Hayes,KeVaughn Allen,Chris Chiozza,Jalen Hudson,Egor Koulechov,Simi Socks,Augustine Ene,Keaton Hervey,Cody Graham,Charles Brown III,316,263,1,0,28,29,21,21,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
18,Kevarrius Hayes,KeVaughn Allen,Chris Chiozza,Jalen Hudson,Egor Koulechov,Simi Socks,Keaton Hervey,Cody Graham,Charles Brown III,Shawn Johnson,263,141,1,0,29,35,21,26,3,3,0,0,0,2,0,0,0,1,0,1,1,1,2,0,0,1,1,0,0,1,1,1,0,0
19,Gorjok Gak,Keith Stone,Mike Okauru,Chris Chiozza,Egor Koulechov,Simi Socks,Keaton Hervey,Cody Graham,Charles Brown III,Shawn Johnson,141,141,1,0,35,35,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Gorjok Gak,Keith Stone,Mike Okauru,Chris Chiozza,Egor Koulechov,Keaton Hervey,Cody Graham,Charles Brown III,Shawn Johnson,Christian Peevy,141,108,1,0,35,35,26,29,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,3,4,0,0,0,0,0
21,Gorjok Gak,Keith Stone,KeVaughn Allen,Chris Chiozza,Jalen Hudson,Keaton Hervey,Cody Graham,Charles Brown III,Shawn Johnson,Christian Peevy,108,65,1,0,35,36,29,31,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
22,Kevarrius Hayes,Keith Stone,KeVaughn Allen,Chris Chiozza,Jalen Hudson,Keaton Hervey,Cody Graham,Charles Brown III,Shawn Johnson,Christian Peevy,65,43,1,0,36,37,31,31,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,Kevarrius Hayes,Keith Stone,KeVaughn Allen,Chris Chiozza,Jalen Hudson,Simi Socks,Keaton Hervey,Cody Graham,Charles Brown III,Shawn Johnson,43,11,1,0,37,37,31,31,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,Kevarrius Hayes,Keith Stone,KeVaughn Allen,Mike Okauru,Jalen Hudson,Simi Socks,Keaton Hervey,Cody Graham,Charles Brown III,Shawn Johnson,11,1200,1,0,37,37,31,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
25,Kevarrius Hayes,Keith Stone,KeVaughn Allen,Mike Okauru,Jalen Hudson,Jalin Hart,Simi Socks,Keaton Hervey,Charles Brown III,Shawn Johnson,1200,1200,1,0,37,37,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Kevarrius Hayes,KeVaughn Allen,Chris Chiozza,Jalen Hudson,Egor Koulechov,Jalin Hart,Simi Socks,Keaton Hervey,Charles Brown III,Shawn Johnson,1200,1176,1,0,37,37,34,37,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0
27,Gorjok Gak,KeVaughn Allen,Chris Chiozza,Jalen Hudson,Egor Koulechov,Jalin Hart,Simi Socks,Keaton Hervey,Charles Brown III,Shawn Johnson,1176,1025,1,0,37,45,37,39,1,1,0,0,2,5,0,0,1,1,2,1,1,0,1,0,1,0,0,2,2,3,0,2,0,0
